planename,crosstime,counter%,time%,distance%,counter,time,distance,latitude,longitude,altitude,type,sectorname,,,
FLT0237,25537, , , , , , ,34.320254,135.081726,2614,A333,'T26-1'
FLT0237,25718, , , , , , ,34.402241,135.202582,106,A333,end
FLT0234,18075, , , , , , ,21.133333,134.95,34000,B738,begin
FLT0234,18075, , , , , , ,21.133333,134.95,34000,B738,'A05'
FLT0234,21818, , , , , , ,28.290146,132.81681,34000,B738,'N01-1'
FLT0234,22714, , , , , , ,29.691377,131.692141,36000,B738,'N01-1', 'F17'
FLT0234,22723, , , , , , ,29.709117,131.68429,36000,B738,'F17'
FLT0234,22942, , , , , , ,30.112739,131.504111,36000,B738,'F07-2'
FLT0234,24177, , , , , , ,32.344828,130.453272,36000,B738,'F03-1'
FLT0234,24679, , , , , , ,33.209069,130.006974,36000,B738,'F03-2', 'F11-2'
FLT0234,25523, , , , , , ,34.698912,129.235476,36000,B738,'F03-2'
FLT0234,25533, , , , , , ,34.717003,129.226044,36000,B738,
FLT0234,25533, , , , , , ,34.717003,129.226044,36000,B738,end
FLT0235,18129, , , , , , ,28.347856,124.003657,32975,A321,begin
FLT0235,18129, , , , , , ,28.347856,124.003657,32975,A321,'F15'
FLT0235,18944, , , , , , ,29.977226,125.165793,32948,A321,end
FLT0988,35574, , , , , , ,35.773852,140.369322,0,B763,begin
FLT0988,35574, , , , , , ,35.773852,140.369322,0,B763,'T06', 'T04-1'
FLT0988,35582, , , , , , ,35.779742,140.364885,0,B763,'T04-1', 'T06'
FLT0988,35694, , , , , , ,35.869883,140.299535,5390,B763,'T12-1', 'T13'
FLT0988,35702, , , , , , ,35.878643,140.294144,5700,B763,'T13', 'T12-1'
FLT0988,35734, , , , , , ,35.914449,140.306396,7180,B763,'T04-1', 'T06'
FLT0988,35966, , , , , , ,35.780181,140.296716,16050,B763,'T12-1', 'T13'
FLT0988,35974, , , , , , ,35.77698,140.282774,16270,B763,'T13', 'T12-1'
FLT0988,36030, , , , , , ,35.776079,140.173636,18630,B763,'T03-1'
FLT0988,36421, , , , , , ,35.808743,139.29814,33620,B763,'T12-1'
FLT0988,37220, , , , , , ,35.518277,137.577031,36000,B763,'T27-1'
FLT0988,37573, , , , , , ,35.37051,136.824797,36000,B763,'T26-1'
FLT0988,37769, , , , , , ,35.231269,136.424107,35997,B763,'T26-2', 'T26-1'
FLT0988,37916, , , , , , ,35.132912,136.130614,36000,B763,'T22-1'
FLT0988,38808, , , , , , ,34.695257,134.28668,36000,B763,'T21-1'
FLT0988,39170, , , , , , ,34.512067,133.543608,31974,B763,'T23-1'
FLT0988,39351, , , , , , ,34.414264,133.158548,31611,B763,'T23-2', 'T23-1'
FLT0988,39370, , , , , , ,34.404683,133.118629,31220,B763,
FLT0988,39380, , , , , , ,34.399881,133.098601,31036,B763,'F11-2'
FLT0988,40690, , , , , , ,33.648734,130.335373,30000,B763,'F03-2', 'F11-2'
FLT0988,41196, , , , , , ,33.072875,129.431516,30000,B763,'F03-1'
FLT0988,41263, , , , , , ,32.995211,129.310801,30000,B763,'F03-2', 'F11-2'
FLT0988,41509, , , , , , ,32.803067,128.8157,30000,B763,
FLT0988,41519, , , , , , ,32.797172,128.794727,30000,B763,'F05-1', 'F05-2'
FLT0988,41710, , , , , , ,32.688363,128.392721,28065,B763,'F05-1'
FLT0988,42557, , , , , , ,32.179455,126.654979,28000,B763,end
FLT0989,35589, , , , , , ,35.566896,139.786218,0,B738,begin
FLT0989,35589, , , , , , ,35.566896,139.786218,0,B738,'T03-1'
FLT0989,36165, , , , , , ,35.819705,139.300315,19820,B738,'T12-1'
FLT0989,36737, , , , , , ,36.042848,138.132565,22000,B738,'T27-1'
FLT0989,38299, , , , , , ,36.367613,136.369031,54,B738,end
FLT0238,18299, , , , , , ,28.355032,124.013963,35000,A320,begin
FLT0238,18299, , , , , , ,28.355032,124.013963,35000,A320,'F15'
FLT0238,19124, , , , , , ,29.944033,125.156804,35000,A320,end
FLT0239,18350, , , , , , ,28.355254,124.01306,39000,A333,begin
FLT0239,18350, , , , , , ,28.355254,124.01306,39000,A333,'F15'
FLT0239,19124, , , , , , ,29.981461,125.176229,39000,A333,end
FLT0528,28684, , , , , , ,35.539764,139.820999,0,B738,begin
FLT0528,28684, , , , , , ,35.539764,139.820999,0,B738,'T03-1'
FLT0528,28804, , , , , , ,35.510733,139.926728,6080,B738,'T12-1', 'T13'
FLT0528,28812, , , , , , ,35.506417,139.936449,6380,B738,'T13', 'T12-1'
FLT0528,29237, , , , , , ,35.120577,139.298889,27310,B738,'T12-3', 'T12-1'
FLT0528,29597, , , , , , ,35.013895,138.45871,28000,B738,'T12-1'
FLT0528,30057, , , , , , ,34.812095,137.401853,28000,B738,'T24-1'
FLT0528,30590, , , , , , ,34.145966,136.370238,28000,B738,'T17'
FLT0528,31527, , , , , , ,33.15312,134.580072,16301,B738,'F17'
FLT0528,31738, , , , , , ,33.253782,134.208402,9784,B738,'F16-1'
FLT0528,32158, , , , , , ,33.491112,133.73976,1184,B738,'F02-4'
FLT0528,32248, , , , , , ,33.526912,133.687713,69,B738,end
FLT0529,28722, , , , , , ,34.857914,136.78943,39,DH8D,begin
FLT0529,28722, , , , , , ,34.857914,136.78943,39,DH8D,'T24-1'
FLT0529,28939, , , , , , ,35.050316,136.743533,9960,DH8D,'T26-1'
FLT0529,29265, , , , , , ,35.375495,136.991389,18820,DH8D,'T27-1'
FLT0529,30568, , , , , , ,37.046866,138.352094,18564,DH8D,'T01'
FLT0529,31256, , , , , , ,37.838929,138.81682,4063,DH8D,end
FLT0526,28633, , , , , , ,34.445066,135.264752,1589,A320,begin
FLT0526,28633, , , , , , ,34.445066,135.264752,1589,A320,'T26-1'
FLT0526,28748, , , , , , ,34.534672,135.266654,5008,A320,'T22-1'
FLT0526,29261, , , , , , ,34.429506,134.30387,23460,A320,'T23-1'
FLT0526,29461, , , , , , ,34.563948,133.882741,29517,A320,'T21-1'
FLT0526,31134, , , , , , ,35.811913,130.771713,36000,A320,
FLT0526,31174, , , , , , ,35.818933,130.687333,36000,A320,end
FLT0527,28634, , , , , , ,34.169184,132.284193,3139,A320,begin
FLT0527,28634, , , , , , ,34.169184,132.284193,3139,A320,'F01-1'
FLT0527,28855, , , , , , ,34.046188,132.573609,12447,A320,'F02-1'
FLT0527,29073, , , , , , ,34.098119,133.032473,19786,A320,'F01-1'
FLT0527,29080, , , , , , ,34.092697,133.035466,19998,A320,'F02-1'
FLT0527,29099, , , , , , ,34.099163,133.081412,20599,A320,'F02-1', 'F01-1'
FLT0527,29108, , , , , , ,34.101923,133.104624,20934,A320,'F01-1'
FLT0527,29194, , , , , , ,34.126893,133.324032,22452,A320,'T23-1'
FLT0527,29270, , , , , , ,34.151362,133.532694,24245,A320,'F16-1'
FLT0527,29461, , , , , , ,34.214238,134.05897,29498,A320,'T23-1'
FLT0527,29842, , , , , , ,34.417237,135.107027,35000,A320,'T26-1'
FLT0527,30238, , , , , , ,34.588382,136.226101,35025,A320,'T24-1'
FLT0527,30648, , , , , , ,34.701322,137.429179,33410,A320,'T12-1'
FLT0527,30913, , , , , , ,34.510096,138.160396,31000,A320,'T09-1'
FLT0527,31070, , , , , , ,34.375245,138.577456,28773,A320,'T09-3', 'T09-1'
FLT0527,31093, , , , , , ,34.382254,138.638212,0,A320,'T14', 'T09-1'
FLT0527,31916, , , , , , ,35.058322,139.931473,7790,A320,'T12-1', 'T13'
FLT0527,31924, , , , , , ,35.065371,139.925458,7660,A320,'T13', 'T12-1'
FLT0527,32544, , , , , , ,35.51747,139.799135,490,A320,'T03-1'
FLT0527,32576, , , , , , ,35.535859,139.785738,70,A320,end
FLT0524,28587, , , , , , ,35.808639,140.37534,0,A320,begin
FLT0524,28587, , , , , , ,35.808639,140.37534,0,A320,'T06', 'T04-1'
FLT0524,28595, , , , , , ,35.814398,140.37106,0,A320,'T04-1', 'T06'
FLT0524,28731, , , , , , ,35.91983,140.298255,6190,A320,'T12-1', 'T13'
FLT0524,28739, , , , , , ,35.927813,140.291573,6510,A320,'T13', 'T12-1'
FLT0524,28859, , , , , , ,36.039591,140.178942,9300,A320,'T03-1'
FLT0524,29707, , , , , , ,37.426491,140.090597,34559,A320,'T02'
FLT0524,30589, , , , , , ,39.014234,140.565972,34980,A320,'S02'
FLT0524,31309, , , , , , ,40.280807,140.983645,34975,A320,'S03-1'
FLT0524,32114, , , , , , ,41.700725,141.397515,18672,A320,'S02'
FLT0524,32420, , , , , , ,42.181225,141.576713,10885,A320,'S04-1'
FLT0524,33296, , , , , , ,42.796134,141.693397,89,A320,end
FLT0525,28604, , , , , , ,35.540025,139.821956,0,B738,begin
FLT0525,28604, , , , , , ,35.540025,139.821956,0,B738,'T03-1'
FLT0525,28692, , , , , , ,35.513236,139.903446,4600,B738,'T12-1', 'T13'
FLT0525,28700, , , , , , ,35.509313,139.913648,4980,B738,'T13', 'T12-1'
FLT0525,29173, , , , , , ,35.111632,139.220379,27110,B738,'T12-3', 'T12-1'
FLT0525,29541, , , , , , ,35.012433,138.456197,40000,B738,'T12-1'
FLT0525,30106, , , , , , ,34.805892,137.398217,39994,B738,'T24-1'
FLT0525,30724, , , , , , ,34.14435,136.368568,39997,B738,'T17'
FLT0525,31748, , , , , , ,33.21997,134.583896,38000,B738,'F17'
FLT0525,32410, , , , , , ,32.755328,133.34821,38000,B738,'F16-1'
FLT0525,32530, , , , , , ,32.661661,133.124715,38000,B738,'F08-1'
FLT0525,33614, , , , , , ,31.796258,131.218144,8843,B738,'F06'
FLT0525,34098, , , , , , ,31.849373,130.692848,1308,B738,end
FLT0522,28519, , , , , , ,34.799938,135.409786,779,DH8D,begin
FLT0522,28519, , , , , , ,34.799938,135.409786,779,DH8D,'T22-1'
FLT0522,29205, , , , , , ,35.06858,134.717627,18000,DH8D,'T21-1'
FLT0522,30654, , , , , , ,35.389179,132.858805,80,DH8D,end
